ID,Clave,Nombre,Grupo ID,Grupo
117,Impuestos-4xMil,4xMil,22,
323,Regalos-90 de Tita,90 de Tita,39,
8,Apto 402 - Venta-Abono,Abono,3,
177,MonteMadero-Acometida Electrica,Acometida Electrica,30,
126,Komorebi-Acueducto,Acueducto,24,
178,MonteMadero-Acueducto,Acueducto,30,
2,Apartamento-Administración,Administración,2,
107,Escobillas-Administración,Administración,18,
355,Tita-Administración,Administración,46,
127,Komorebi-Administración,Administración,24,
110,Fotografía-Adobe,Adobe,21,
17,Bancolombia-Ajustes,Ajustes,4,
179,Montemadero-Alacena,Alacena,30,
29,Bosques.Bonsái-Alambre,Alambre,7,
180,MonteMadero-Alquiler equipos,Alquiler equipos,30,
356,Tita-Amazon,Amazon,46,
357,Tita-Aportes,Aportes,46,
32,Bosques.Bonsái-Árboles,Árboles,7,
181,Montemadero-Arquitectos,Arquitectos,30,
3,Apartamento-Arriendo,Arriendo,2,
365,Tita-Arriendo_-_El_Tunal,Arriendo - El Tunal,46,
4,Apartamento-Aseo,Aseo,2,
128,Komorebi-Aseo,Aseo,24,
182,Montemadero-Aseo,Aseo,30,
183,MonteMadero-Atenciones,Atenciones,30,
31,Bosques.Bonsái-Atomizadores,Atomizadores,7,
51,Bosques.Terrarios-Atomizadores,Atomizadores,9,
172,Mercado-Atún,Atún,29,
70,Carro-Audi Q5,Audi Q5,10,
50,Bosques.Terrarios-Ayudantes,Ayudantes,9,
30,Bosques.Bonsái-Ayudantes,Ayudantes,7,
358,Tita-Bancolombia,Bancolombia,46,
18,Bancolombia-Bancos,Bancos,4,
153,Menaje-Baños,Baños,28,
184,MonteMadero-Baños,Baños,30,
337,Salud-Barberia,Barberia,43,
26,Beguido-Venta-Beguido-Venta,Beguido-Venta,5,
87,Deporte-Bicicleta,Bicicleta,13,
154,Menaje-Bicicleta,Bicicleta,28,
185,Montemadero-Bordillos,Bordillos,30,
186,Montemadero-Botada Escombros,Botada Escombros,30,
329,Ropa-Busos,Busos,41,
187,MonteMadero-Calentadores,Calentadores,30,
405,Ventas-Cámara Sony,Cámara Sony,52,
188,MonteMadero-Camaras,Camaras,30,
330,Ropa-Camisetas,Camisetas,41,
122,Inversiones-Capital,Capital,23,
189,Montemadero-Carcamos,Carcamos,30,
190,MonteMadero-Carpinteria,Carpinteria,30,
71,Carro-Casco,Casco,10,
359,Tita-Celular,Celular,46,
312,RC Gastos-Celular,Celular,37,
129,Komorebi-Celular,Celular,24,
130,Komorebi-Celular e Internet,Celular e Internet,24,
131,Komorebi-Celular portada,Celular portada,24,
191,Montemadero-Cemento,Cemento,30,
192,Montemadero-Cemento y hierro,Cemento y hierro,30,
193,Montemadero-Cemento y malla electro,Cemento y malla electro,30,
194,Montemadero-Cerca Electrica,Cerca Electrica,30,
195,MonteMadero-Cerraduras y Chapas,Cerraduras y Chapas,30,
196,MonteMadero-Certificados de libertad,Certificados de libertad,30,
9,Apto 402 - Venta-Certificados de libertad El Avila,Certificados de libertad El Avila,3,
360,Tita-Cesantias Tere,Cesantias Tere,46,
349,Slow - Venta-Cesión,Cesión,44,
197,Montemadero-Chapas,Chapas,30,
331,Ropa-Chaquetas,Chaquetas,41,
91,Diversiones-Charturbate,Charturbate,14,
198,MonteMadero-Chimenea,Chimenea,30,
155,Menaje-Chiminea,Chiminea,28,
338,Salud-Citas,Citas,43,
156,Menaje-Closet,Closet,28,
157,Menaje-Cocina,Cocina,28,
19,Bancolombia-Comisiones,Comisiones,4,
199,MonteMadero-Compra Lote,Compra Lote,30,
149,MasterCard COP-Compras,Compras,26,
20,Bancolombia-Compras,Compras,4,
151,MasterCard USD-Compras,Compras,27,
339,Salud-Consultas,Consultas,43,
85,Consultorias-Consultoria,Consultoria,11,
340,Salud-Copagos,Copagos,43,
10,Apto 402 - Venta-Copia escritura hipoteca conavi,Copia escritura hipoteca conavi,3,
200,MonteMadero-Copias,Copias,30,
86,CorAntioquia-CorAntioquia,CorAntioquia,12,
94,Donaciones-Corpaul,Corpaul,15,
201,Montemadero-Cortagoteras,Cortagoteras,30,
202,Montemadero-Cortinas,Cortinas,30,
97,Educación-Coursera,Coursera,16,
341,Salud-Cpap,Cpap,43,
132,Komorebi-Cuarto Técnico,Cuarto Técnico,24,
203,MonteMadero-Cuarto Técnico,Cuarto Técnico,30,
299,Perros-Cuido,Cuido,32,
21,Bancolombia-Cuota de manejo,Cuota de manejo,4,
204,MonteMadero-Daños ,Daños ,30,
205,MonteMadero-Deck,Deck,30,
361,Tita-Declaraciones de renta,Declaraciones de renta,46,
88,Deporte-Deporte,Deporte,13,
332,Ropa-Deportiva,Deportiva,41,
362,Tita-Depto Antioquia,Depto Antioquia,46,
118,Impuestos-Depto Antioquia,Depto Antioquia,22,
206,MonteMadero-Desagues,Desagues,30,
304,PH360-Desarrollo,Desarrollo,33,
22,Bancolombia-Devoluciones,Devoluciones,4,
73,Carro-Diesel,Diesel,10,
363,Tita-Diezmos,Diezmos,46,
207,MonteMadero-Diseño arquitectonico,Diseño arquitectonico,30,
208,MonteMadero-Diseño Electrico,Diseño Electrico,30,
209,MonteMadero-Diseño Estructural,Diseño Estructural,30,
210,MonteMadero-Diseño hidrosanitario,Diseño hidrosanitario,30,
92,Diversiones-Diversión,Diversión,14,
211,Montemadero-Docuementos,Docuementos,30,
350,Slow - Venta-Documentos,Documentos,44,
11,Apto 402 - Venta-Documentos,Documentos,3,
133,Komorebi-Documentos,Documentos,24,
306,PH360-Dominio,Dominio,33,
212,MonteMadero-Domótica,Domótica,30,
95,Donaciones-Donaciones,Donaciones,15,
213,MonteMadero-Dovelas,Dovelas,30,
342,Salud-Drogas,Drogas,43,
300,Perros-Drogas,Drogas,32,
214,MonteMadero-Drywall,Drywall,30,
215,MonteMadero-Edier Castro y moreno,Edier Castro y moreno,30,
364,Tita-El Colombiano,El Colombiano,46,
216,MonteMadero-Electricidad,Electricidad,30,
173,Mercado-Empanadas,Empanadas,29,
217,Montemadero-Energía Solar,Energía Solar,30,
52,Bosques.Terrarios-Entrenamientos,Entrenamientos,9,
33,Bosques.Bonsái-Entrenamientos,Entrenamientos,7,
53,Bosques.Terrarios-Envios,Envios,9,
34,Bosques.Bonsái-Envios,Envios,7,
218,Montemadero-EPM,EPM,30,
366,Tita-EPM,EPM,46,
813,Bosques.Terrarios-Equipos,Equipos,9,
134,Komorebi-Equipos,Equipos,24,
158,Menaje-Equipos,Equipos,28,
301,Perros-Equipos,Equipos,32,
307,PH360-Equipos,Equipos,33,
219,Montemadero-Equipos Cocina,Equipos Cocina,30,
220,Montemadero-Escombros,Escombros,30,
27,Beguido-Venta-Escritura,Escritura,5,
12,Apto 402 - Venta-Escritura 402,Escritura 402,3,
351,Slow - Venta-Escrituras,Escrituras,44,
108,Estafa-Estafa,Estafa,19,
221,Montemadero-Estanterías,Estanterías,30,
222,MonteMadero-Estructura metálica,Estructura metálica,30,
223,MonteMadero-Estudio apantallamiento,Estudio apantallamiento,30,
224,MonteMadero-Estudio de suelos,Estudio de suelos,30,
54,Bosques.Terrarios-Eventos,Eventos,9,
35,Bosques.Bonsái-Eventos,Eventos,7,
343,Salud-Examenes,Examenes,43,
111,Fotografía-F.Clases,F.Clases,21,
112,Fotografía-F.Equipos,F.Equipos,21,
113,Fotografía-F.LR y PH,F.LR y PH,21,
367,Tita-Facturacion Sigo,Facturacion Sigo,46,
324,Regalos-Familia,Familia,39,
225,MonteMadero-Ferreteria,Ferreteria,30,
36,Bosques.Bonsái-Fertilizantes,Fertilizantes,7,
55,Bosques.Terrarios-Fertilizantes,Fertilizantes,9,
93,Diversiones-Fiestas,Fiestas,14,
109,Fiducuenta-Fondo Renta,Fondo Renta,20,
313,RC Gastos-Foto Multa,Foto Multa,37,
114,Fotografía-Foto Paseos,Foto Paseos,21,
56,Bosques.Terrarios-Frascos,Frascos,9,
368,Tita-Fuente Clara,Fuente Clara,46,
226,MonteMadero-Fundaciones,Fundaciones,30,
344,Salud-Gafas,Gafas,43,
314,RC Gastos-Gafas,Gafas,37,
1,Animales-Gallinas,Gallinas,1,
159,Menaje-Garaje,Garaje,28,
227,Montemadero-Gas,Gas,30,
74,Carro-Gasolina,Gasolina,10,
315,RC Gastos-Gastos,Gastos,37,
98,Educación-Gemini,Gemini,16,
99,Educación-GitHub,GitHub,16,
228,Montemadero-Grama,Grama,30,
229,MonteMadero-Griferias,Griferias,30,
316,RC Gastos-Gym,Gym,37,
89,Deporte-Gym,Gym,13,
160,Menaje-Habitaciones,Habitaciones,28,
57,Bosques.Terrarios-Herramientas,Herramientas,9,
161,Menaje-Herramientas,Herramientas,28,
37,Bosques.Bonsái-Herramientas,Herramientas,7,
230,MonteMadero-Herramientas,Herramientas,30,
135,Komorebi-Hidroponía,Hidroponía,24,
231,MonteMadero-Hidrosanitarias,Hidrosanitarias,30,
232,MonteMadero-Hierro,Hierro,30,
233,MonteMadero-Hierro y plomeria,Hierro y plomeria,30,
234,Montemadero-Hierro y PVC,Hierro y PVC,30,
235,MonteMadero-Horno de leña,Horno de leña,30,
162,Menaje-Horno Leña,Horno Leña,28,
236,Montemadero-Huerta,Huerta,30,
136,Komorebi-Huerta,Huerta,24,
72,Carro-ICar 03,ICar 03,10,
237,MonteMadero-Iluminación,Iluminación,30,
58,Bosques.Terrarios-Impresión 3D,Impresión 3D,9,
119,Impuestos-Impuestos,Impuestos,22,
369,Tita-Impuestos,Impuestos,46,
75,Carro-Impuestos,Impuestos,10,
238,MonteMadero-Inducción,Inducción,30,
352,Slow - Venta-Ingresos,Ingresos,44,
44,Bosques.Cuadros-Insumos,Insumos,8,
13,Apto 402 - Venta-Intereses,Intereses,3,
23,Bancolombia-Intereses,Intereses,4,
123,Inversiones-Intereses,Intereses,23,
5,Apartamento-Internet,Internet,2,
137,Komorebi-Internet,Internet,24,
370,Tita-Internet,Internet,46,
239,MonteMadero-Interventoria,Interventoria,30,
240,Montemadero-Invernadero,Invernadero,30,
124,Inversiones-Inversiones,Inversiones,23,
371,Tita-Inversiones,Inversiones,46,
